playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Franz Ferdinand,Franz Ferdinand,Take Me Out,spotify:track:20I8RduZC2PWMWTDCZuuAN,Rock Paper Scissors
Freakin' Out On The Interstate,Briston Maroney,Freakin' Out On the Interstate,spotify:track:0awZwmlC6pxH65KTZpadmX,Perfect Playlist Pt 2
Freakin' Out On The Interstate,Briston Maroney,Freakin' Out On the Interstate,spotify:track:0awZwmlC6pxH65KTZpadmX,The Knew
From The Fires,Greta Van Fleet,Highway Tune,spotify:track:7aOor99o8NNLZYElOXlBG1,The Knew
Future Hearts,All Time Low,Something's Gotta Give,spotify:track:1SeefzwSDiFCjRWaBslRIj,The Knew
GEMINI,Macklemore,Good Old Days (feat. Kesha),spotify:track:2Za1AlJNvksouPPWbXpR2X,The Knew
Get Born,Jet,Are You Gonna Be My Girl,spotify:track:305WCRhhS10XUcH6AEwZk6,I Will Survive
Get Born,Jet,Are You Gonna Be My Girl,spotify:track:305WCRhhS10XUcH6AEwZk6,Missing Her
Get Born,Jet,Are You Gonna Be My Girl,spotify:track:305WCRhhS10XUcH6AEwZk6,Rock Paper Scissors
Get Guilty,A.C. Newman,Prophets,spotify:track:7dnQZxpbKsHNmtlWcRdsR4,Perfect Playlist Pt 2
Get Guilty,A.C. Newman,Prophets,spotify:track:7dnQZxpbKsHNmtlWcRdsR4,The Knew
Get The Knack,The Knack,My Sharona,spotify:track:1HOMkjp0nHMaTnfAkslCQj,I Will Survive
Glory Days,The Federal Empire,Glory Days,spotify:track:7xDrRpY4RqYOk1gRf1iMlj,The Knew
Going To Hell,The Pretty Reckless,Heaven Knows,spotify:track:04w73SmPfQkkmEpKbcrHOL,The Knew
Great Divide (Deluxe Version),Twin Atlantic,Heart and Soul,spotify:track:7CskFQLRb7IdIEdnAnjMDV,Missing Her
Great Divide (Deluxe Version),Twin Atlantic,Heart and Soul,spotify:track:7CskFQLRb7IdIEdnAnjMDV,The Knew
Greatest Hits,Styx,Renegade,spotify:track:2AteFs3KWb0OiKxQRnbH9T,Rock Paper Scissors
Greatest Hits: God's Favorite Band,Green Day,Back in the USA,spotify:track:53oEpGga4UriwcOKc35LpM,Rock Paper Scissors
Greatest Hits: God's Favorite Band,Green Day,Holiday,spotify:track:4VgEM12OeaN3GyBV487Me7,Me and michael
Greatest Hits: Huey Lewis And The News,Huey Lewis & The News,The Power Of Love,spotify:track:2olVm1lHicpveMAo4AUDRB,I Will Survive
Greenback Boogie,Ima Robot,Greenback Boogie,spotify:track:2a6lmAMwH4RjNGDY01kytd,"1 or 11? Its Aces, Charles!"
Greenback Boogie,Ima Robot,Greenback Boogie,spotify:track:5rgqT1We3IX8IxF9gYZgWc,The Knew
Guess I'll Wait For You,Jono Smithers,Guess I'll Wait For You,spotify:track:5vWMRdWmkX1owL6ZBVQM4N,Missing Her
Handwritten,The Gaslight Anthem,"""45""",spotify:track:25Sd73fleKUVPNqITPZkn1,The Knew
Hang on the Weekend,Jono Smithers,Hang on the Weekend,spotify:track:2HjyQ9gDWT5oFWoThOrWeO,Perfect Playlist Pt 2
Hazards Of Love,The Decemberists,The Wanting Comes In Waves / Repaid,spotify:track:3mr3gZp6h3lejFQfGE2YUN,Rock Paper Scissors
Hazy Shade of Winter (feat. Ray Toro),Gerard Way,Hazy Shade of Winter (feat. Ray Toro),spotify:track:1tBZnhDT8xbgJTs43FiqrD,Perfect Playlist Pt 2
Hazy Shade of Winter (feat. Ray Toro),Gerard Way,Hazy Shade of Winter (feat. Ray Toro),spotify:track:1tBZnhDT8xbgJTs43FiqrD,Rock Paper Scissors
Heathens,Twenty One Pilots,Heathens,spotify:track:6i0V12jOa3mr6uu4WYhUBr,The Knew
Heaven Tonight,Cheap Trick,Surrender,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,Rock Paper Scissors
High Voltage,AC/DC,T.N.T.,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,Rock Paper Scissors
Higher Truth,Chris Cornell,Nearly Forgot My Broken Heart,spotify:track:7MjRtWS2teufvOiMM0BARZ,The Knew
Highway to Hell,AC/DC,Highway to Hell,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,Rock Paper Scissors
Hoist the Colours - Epic Version,Samuel Kim,Hoist the Colours - Epic Version,spotify:track:2yMz6SS46oKoffXRCf6alC,Perfect Playlist Pt 2
Hold My Home,Cold War Kids,First,spotify:track:3omXshBamrREltcf24gYDC,The Knew
"Hold On, I'm Comin'",Sam & Dave,"Hold On, I'm Comin'",spotify:track:6PgVDY8GTkxF3GmhVGPzoB,I Will Survive
Home of the Strange,Young the Giant,Something to Believe In,spotify:track:6L3VWDPDTQkQFkqvmpAUMU,The Knew
hometown,cleopatrick,hometown,spotify:track:6p8DGrcAUBuLUgDIKcUn0P,The Knew
Honeybee,Jono Smithers,Bring Back the Sunshine,spotify:track:6YXNIixPVHp1tPsz5vStt6,HOmeWorK BANgers
Honeybee,Jono Smithers,Cape Town,spotify:track:6C5mNGv8WLJTSXieENkhN1,HOmeWorK BANgers
Honeybee,Jono Smithers,Chasing Rainbows,spotify:track:4IG9W4RxzBUppgx3uKVdUH,HOmeWorK BANgers
Honeybee,Jono Smithers,Chasing Rainbows,spotify:track:4IG9W4RxzBUppgx3uKVdUH,Perfect Playlist Pt 2
Honeybee,Jono Smithers,Honeybee,spotify:track:51Xia4eaEU6si0IZsW4P3W,HOmeWorK BANgers
Honeybee,Jono Smithers,Honeybee,spotify:track:51Xia4eaEU6si0IZsW4P3W,I Will Survive
Honeybee,Jono Smithers,Honeybee,spotify:track:51Xia4eaEU6si0IZsW4P3W,Perfect Playlist Pt 2
Honeybee,Jono Smithers,Love Ain't Blind,spotify:track:2kH0e6vHi6RSJXUODxIHPC,HOmeWorK BANgers
Honeybee,Jono Smithers,Love Ain't Blind,spotify:track:2kH0e6vHi6RSJXUODxIHPC,Perfect Playlist Pt 2
Honeybee,Jono Smithers,Proud of It,spotify:track:3V5HS3rNiUSLChaHfXGLo4,Perfect Playlist Pt 2
Honeybee,Jono Smithers,Stuck in October,spotify:track:0m42DJCE0URRwRiRMOT1bu,HOmeWorK BANgers
Honeybee,Jono Smithers,Stuck in October,spotify:track:0m42DJCE0URRwRiRMOT1bu,Missing Her
Hooked On A Feeling - 40th Anniversary Collection,Blue Swede,Hooked On A Feeling,spotify:track:2Nz6aF1umHh5Et6I5H581L,"1 or 11? Its Aces, Charles!"
Hooked On A Feeling - 40th Anniversary Collection,Blue Swede,Hooked On A Feeling,spotify:track:2Nz6aF1umHh5Et6I5H581L,I Will Survive
Hooked On A Feeling - 40th Anniversary Collection,Blue Swede,Hooked On A Feeling,spotify:track:2Nz6aF1umHh5Et6I5H581L,Missing Her
Hotel California,Eagles,Hotel California - 2013 Remaster,spotify:track:40riOy7x9W7GXjyGp4pjAv,Rock Paper Scissors
Hôtel Costes 11,Waldeck,Why did we fire the gun ?,spotify:track:3faspWrVbnC8WMefK8g39e,The Knew
Hotel Diablo,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),spotify:track:2gTdDMpNxIRFSiu7HutMCg,The Knew
How Did We Get So Dark?,Royal Blood,Lights Out,spotify:track:1060gzllf4b0UETAXisR5l,The Knew
How I Met Your Music,The Solids,"Hey Beautiful - From ""How I Met Your Mother""/Theme",spotify:track:1QvpsbjYAVVFvFrWVC0qnQ,"1 or 11? Its Aces, Charles!"
"How to: Friend, Love, Freefall",Rainbow Kitten Surprise,Painkillers,spotify:track:6fc51JZVE0Yijdi6RuoLFv,Perfect Playlist Pt 2
Hozier (Expanded Edition),Hozier,Take Me to Church,spotify:track:1CS7Sd1u5tWkstBhpssyjP,The Knew
Human,OneRepublic,Someday,spotify:track:6aDsgHPZsMztSbZernzlF8,The Knew
Hybrid Theory,Linkin Park,Crawling,spotify:track:57BrRMwf9LrcmuOsyGilwr,Rock Paper Scissors
Hybrid Theory,Linkin Park,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Missing Her
Hybrid Theory,Linkin Park,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Rock Paper Scissors
Hypersonic Missiles,Sam Fender,Hypersonic Missiles,spotify:track:6CltzquypraYIlWFp48m1O,The Knew
Hypersonic Missiles,Sam Fender,Will We Talk?,spotify:track:5g0HSob4PEq7M8blV6y70i,The Knew
I Ain’t Worried,OneRepublic,I Ain't Worried,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,The Knew
I Don't Want to Let You Down,Sharon Van Etten,Pay My Debts,spotify:track:5WrdLpKv1J1wCnwYqJKvx8,Missing Her
I Don't Want to Let You Down,Sharon Van Etten,Pay My Debts,spotify:track:5WrdLpKv1J1wCnwYqJKvx8,The Knew
I Love You.,The Neighbourhood,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Knew
Icky Thump,The White Stripes,Icky Thump,spotify:track:2LMq1O0NiqGhPOlXo3McYQ,Rock Paper Scissors
I'm with You,Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,spotify:track:0PgNhIg5n0UAOBVn43b8b6,The Knew
Immortalized,Disturbed,The Sound of Silence,spotify:track:1Cj2vqUwlJVG27gJrun92y,I Will Survive
Immortalized,Disturbed,The Sound of Silence,spotify:track:1Cj2vqUwlJVG27gJrun92y,Missing Her
In Real Life,Tryhardninja,Take Back the Night,spotify:track:2DOAJh50Pa1UNoqGt7dTA9,HOmeWorK BANgers
In Your Honor,Foo Fighters,Best of You,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,Rock Paper Scissors
Inception,Hans Zimmer,Dream Is Collapsing,spotify:track:5xKVYMxOHB2XRLCUafFrz6,HOmeWorK BANgers
Inception,Hans Zimmer,Time,spotify:track:6ZFbXIJkuI1dVNWvzJzown,HOmeWorK BANgers
Infinity On High,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",spotify:track:1oagRT7LfpVlNJN6FSZDGp,The Knew
Infinity On High,Fall Out Boy,Thnks fr th Mmrs,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,Missing Her
Insomniac,Green Day,Brain Stew,spotify:track:1nLnpLXvl68RZCSjfkyiaa,Rock Paper Scissors
Is This It,The Strokes,Someday,spotify:track:7hm4HTk9encxT0LYC0J6oI,The Knew
Isolate And Medicate,Seether,Nobody Praying For Me,spotify:track:3bq8WiQrEXMwPAibYs7tpu,The Knew
Isteri,Ours Samplus,Spell on You,spotify:track:5w2zI2TnxiP4DMcsA0P30M,Missing Her
Jump Up Calypso,Harry Belafonte,Jump in the Line,spotify:track:1zW2csx1vVJrKfvDrFQNVt,"1 or 11? Its Aces, Charles!"
Jump Up Calypso,Harry Belafonte,Jump in the Line,spotify:track:1zW2csx1vVJrKfvDrFQNVt,Missing Her
LA DIVINE,Cold War Kids,So Tied Up,spotify:track:3msS7xaelR4Oa0n7IwHkgF,Missing Her
LA DIVINE,Cold War Kids,So Tied Up,spotify:track:3msS7xaelR4Oa0n7IwHkgF,The Knew
Landmark,Hippo Campus,Buttercup,spotify:track:6iCJCZqDJjmBxt07Oid6FI,Perfect Playlist Pt 2
Lazaretto,Jack White,Lazaretto,spotify:track:3T76zPJz3tWL27FrjJe2ot,Rock Paper Scissors
Lazaretto,Jack White,Lazaretto,spotify:track:3T76zPJz3tWL27FrjJe2ot,The Knew
Leaders Of The Free World,Elbow,Leaders of the Free World,spotify:track:0FeKXParpIZgzNzzOeJiZY,I Will Survive
Led Zeppelin III,Led Zeppelin,Immigrant Song - Remaster,spotify:track:78lgmZwycJ3nzsdgmPPGNx,Rock Paper Scissors
Left for Dead,Lustra,Scotty Doesn't Know,spotify:track:1LkoYGxmYpO6QSEvY5C0Zl,The Knew
Leftoverture,Kansas,Carry on Wayward Son,spotify:track:4DMKwE2E2iYDKY01C335Uw,"1 or 11? Its Aces, Charles!"
Leftoverture,Kansas,Carry on Wayward Son,spotify:track:4DMKwE2E2iYDKY01C335Uw,I Will Survive
Leftoverture,Kansas,Carry on Wayward Son,spotify:track:4DMKwE2E2iYDKY01C335Uw,Rock Paper Scissors
Leftoverture,Kansas,Carry on Wayward Son,spotify:track:4DMKwE2E2iYDKY01C335Uw,The Knew
Let It Bleed,The Rolling Stones,Gimme Shelter,spotify:track:6H3kDe7CGoWYBabAeVWGiD,"1 or 11? Its Aces, Charles!"
Let It Bleed,The Rolling Stones,Gimme Shelter,spotify:track:6H3kDe7CGoWYBabAeVWGiD,Rock Paper Scissors
Let The Bad Times Roll,The Offspring,Coming For You,spotify:track:0FLmCEO4OccwwiHxveEpt1,The Knew
Let the Vultures In,Des Rocs,Let Me Live / Let Me Die,spotify:track:0AVIswXP3Q5FnlorjU0DbI,The Knew
Let's Throw a Party,Sammy Rae & The Friends,Jackie Onassis,spotify:track:2t034uMx7XDFSOEp48dXPI,Perfect Playlist Pt 2
Licensed To Ill,Beastie Boys,Fight For Your Right,spotify:track:5NLuC70kZQv8q34QyQa1DP,Rock Paper Scissors
Licensed To Ill,Beastie Boys,No Sleep Till Brooklyn,spotify:track:5qxChyzKLEyoPJ5qGrdurN,Rock Paper Scissors
Life Starts Now,Three Days Grace,Last to Know,spotify:track:1o4Pf2GIMDCD7ifIM2yI77,Perfect Playlist Pt 2
Light It Up With Me,Jono Smithers,Light It Up With Me,spotify:track:1uQMjKzZN3VKwdtyrB5Hra,Missing Her
Lightning Bolt,Pearl Jam,Sirens,spotify:track:1cAMXz9mnvrqyQLSG4KeeE,The Knew
Little Fictions,Elbow,Magnificent (She Says),spotify:track:7nZOHks3CYi2hAfRoVrolM,I Will Survive
Little Voice,Sara Bareilles,Gravity,spotify:track:4oa14QBfWRDfJy2agySy0L,I Will Survive
Little Voice,Sara Bareilles,Love Song,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,I Will Survive
LIVING THINGS,Linkin Park,BURN IT DOWN,spotify:track:7oVEtyuv9NBmnytsCIsY5I,The Knew
Lock Me Up,The Cab,Stand Up,spotify:track:37OjMlwuUVWWmVKrV8CiUQ,The Knew
London Calling (Remastered),The Clash,London Calling - Remastered,spotify:track:5jzma6gCzYtKB1DbEwFZKH,Rock Paper Scissors
Long Way Down,Tom Odell,Another Love,spotify:track:7otCGmgp9h4CsR2LhwB6gt,The Knew
Love In The Future (Expanded Edition),John Legend,All of Me,spotify:track:3U4isOIWM3VvDubwSI3y7a,Missing Her
Love In The Future (Expanded Edition),John Legend,All of Me,spotify:track:3U4isOIWM3VvDubwSI3y7a,The Knew
Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,spotify:track:4pCNJwixy2ImFncaPY2yE2,"1 or 11? Its Aces, Charles!"
Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,spotify:track:4pCNJwixy2ImFncaPY2yE2,Missing Her
Lunatic,KONGOS,Come with Me Now,spotify:track:2kWowW0k4oFymhkr7LmvzO,"1 or 11? Its Aces, Charles!"
Lunatic,KONGOS,Come with Me Now,spotify:track:2kWowW0k4oFymhkr7LmvzO,Missing Her
MANIA,Fall Out Boy,The Last Of The Real Ones,spotify:track:6e13443Ve7RGcAUScTgYtl,The Knew
"Mario Kart Wii, The Themes",Arcade Player,"Coconut Mall (From ""Mario Kart Wii"")",spotify:track:1SOTqkhpIWoLX1AS9Y2RpU,Perfect Playlist Pt 2
Mechanical Bull (Expanded Edition),Kings of Leon,Supersoaker,spotify:track:4cQIbDqCZrHknxlDUjRHZ0,The Knew
Megalithic Symphony,AWOLNATION,Sail,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,The Knew
Mellow Gold,Beck,Loser,spotify:track:5PntSbMHC1ud6Vvl8x56qd,Missing Her
Mellow Gold,Beck,Loser,spotify:track:5PntSbMHC1ud6Vvl8x56qd,Rock Paper Scissors
Metallica,Metallica,Enter Sandman,spotify:track:5BIMPccDwShpXq784RJlJp,Rock Paper Scissors
Meteora,Linkin Park,Faint,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,Rock Paper Scissors
Meteora,Linkin Park,Numb,spotify:track:2nLtzopw4rPReszdYBJU6h,Rock Paper Scissors
Mezzanine,Massive Attack,Teardrop,spotify:track:67Hna13dNDkZvBpTXRIaOJ,"1 or 11? Its Aces, Charles!"
Millions,OLSSON,Hold On,spotify:track:3Wz5JAW46aCFe1BwZIePu6,The Knew
Mint,Alice Merton,No Roots,spotify:track:3D5wnLaeVlCCIPzQOOAirA,Missing Her
Mint,Alice Merton,No Roots,spotify:track:3D5wnLaeVlCCIPzQOOAirA,The Knew
Minutes to Midnight,Linkin Park,Bleed It Out,spotify:track:0UFDKFqW2oGspYeYqo9wjA,Rock Paper Scissors
Minutes to Midnight,Linkin Park,What I've Done,spotify:track:18lR4BzEs7e3qzc0KVkTpU,Rock Paper Scissors
Mister Asylum,Highly Suspect,Lydia,spotify:track:7yoBjKO6cCnK3zV8gr1k4e,The Knew
Mmhmm,Relient K,Be My Escape,spotify:track:5eK5xQl8EGzR5zYkxaDCAn,Missing Her
Monday Don't Mean Anything,Alabama 3,Monday Don’t Mean Anything To Me,spotify:track:1Cc7MrnBdhj6o2JzcOrQ8R,Rock Paper Scissors
Moskau - Das Neue Best Of Album,Dschinghis Khan,Moskau,spotify:track:5t77UGzgSBRDDnaxJvE9R3,"1 or 11? Its Aces, Charles!"
Mother's Milk,Red Hot Chili Peppers,Higher Ground - Remastered 2003,spotify:track:5arVt2Wg0zbiWwAOZef2Nl,Rock Paper Scissors
Moving Pictures,Rush,Tom Sawyer,spotify:track:06TY7FCbeT7Lu39oZ0IEsN,Rock Paper Scissors
My Thoughts On You,The Band CAMINO,2 / 14,spotify:track:2QwpEi3eNToZCCMMRcOj0u,Missing Her
My Thoughts On You,The Band CAMINO,2 / 14,spotify:track:2QwpEi3eNToZCCMMRcOj0u,Perfect Playlist Pt 2
My Type EP,Saint Motel,Cold Cold Man,spotify:track:6RKGBcDtgzXx21zUjpeu6F,Missing Her
Narrow Stairs,Death Cab for Cutie,Pity and Fear,spotify:track:2flYVvzlSI9Pg5gI6MqTJs,Missing Her
Narrow Stairs,Death Cab for Cutie,Pity and Fear,spotify:track:2flYVvzlSI9Pg5gI6MqTJs,Perfect Playlist Pt 2
Narrow Stairs,Death Cab for Cutie,Pity and Fear,spotify:track:2flYVvzlSI9Pg5gI6MqTJs,Rock Paper Scissors
Native,OneRepublic,I Lived,spotify:track:3IQF4xCQUPicbA4hWfTxPo,Missing Her
Native,OneRepublic,Love Runs Out,spotify:track:5BJSZocnCeSNeYMj3iVqM7,The Knew
Neotheater,AJR,100 Bad Days,spotify:track:17FK4etx1u2NK60cptINMS,The Knew
"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,God Save the Queen,spotify:track:6ui6l3ZNvlrGQZArwo8195,Rock Paper Scissors
"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,Holidays in the Sun,spotify:track:2e4RcQohKWo8oZIUfjxiGo,Rock Paper Scissors
Nevermind,Nirvana,Come As You Are,spotify:track:4P5KoWXOxwuobLmHXLMobV,Rock Paper Scissors
Nevermind,Nirvana,Smells Like Teen Spirit,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Missing Her
Nevermind,Nirvana,Smells Like Teen Spirit,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Rock Paper Scissors
Night Visions,Imagine Dragons,Radioactive,spotify:track:4G8gkOterJn0Ywt6uhqbhp,The Knew
Nightflight to Venus,Boney M.,Rasputin,spotify:track:5jkFvD4UJrmdoezzT1FRoP,"1 or 11? Its Aces, Charles!"
Nightflight to Venus,Boney M.,Rasputin,spotify:track:5jkFvD4UJrmdoezzT1FRoP,HOmeWorK BANgers
Nimrod,Green Day,Hitchin' a Ride,spotify:track:6WlmA3HPHuNIR2mxI8LkZF,Rock Paper Scissors
Nimrod,Green Day,King for a Day,spotify:track:3b2Tnh3Dd9ahRoNm28RfNM,Rock Paper Scissors
No Angel,Dido,Thank You,spotify:track:751gBcu62kORDelX7FV0mM,Missing Her
No Place Is Home,Welshly Arms,Legendary,spotify:track:2bDENJyfbxj0neGiXUFvIX,The Knew
No Sound Without Silence,The Script,Superheroes,spotify:track:37sINbJZcFdHFAsVNsPq1i,"1 or 11? Its Aces, Charles!"
Nothing But Thieves,Nothing But Thieves,Trip Switch,spotify:track:13QI6bq0U8HMK7gUpAwFBK,The Knew
Notos,The Oh Hellos,Constellations,spotify:track:7g3MdW9vvunaniaNq4C8Fe,Perfect Playlist Pt 2
"Now, Not Yet",half•alive,arrow,spotify:track:6HGDxEtcoUsztb2xeVOXTP,Missing Her
"Now, Not Yet",half•alive,arrow,spotify:track:6HGDxEtcoUsztb2xeVOXTP,Perfect Playlist Pt 2
"Now, Not Yet",half•alive,Pure Gold,spotify:track:06yksZ8eFxWyaCxxnbXd0q,Missing Her
"Now, Not Yet",half•alive,Pure Gold,spotify:track:06yksZ8eFxWyaCxxnbXd0q,Perfect Playlist Pt 2
"Now, Not Yet",half•alive,still feel.,spotify:track:48XkVAagIoQHCsOlJtXUd5,Missing Her
"Now, Not Yet",half•alive,still feel.,spotify:track:48XkVAagIoQHCsOlJtXUd5,Perfect Playlist Pt 2
Ocean Eyes,Owl City,Fireflies,spotify:track:3DamFFqW32WihKkTVlwTYQ,Missing Her
Oceans Will Rise,The Stills,Rooibos / Palm Wine Drinkard,spotify:track:5znosBlwL5YgVszQoTaqQo,Rock Paper Scissors
Oh My My,OneRepublic,Let's Hurt Tonight,spotify:track:05sCp83gcMm1iecYydKJS3,Missing Her
Oh My My,OneRepublic,Let's Hurt Tonight,spotify:track:05sCp83gcMm1iecYydKJS3,The Knew
"Oh, Inverted World",The Shins,New Slang,spotify:track:1wAqhAF1dynDjMy7m5CSSE,Perfect Playlist Pt 2
OK ORCHESTRA,AJR,Bang!,spotify:track:5FQPpxOXsvkMN6v18gtpwY,The Knew
OK ORCHESTRA,AJR,World's Smallest Violin,spotify:track:3jHBgKdLCf46aP3HRI0WYv,The Knew
"OK, I'M SICK",Badflower,Ghost,spotify:track:7w09r53aPON8ZUvEAnPe94,The Knew
Old Flint,Luke Sital-Singh,Dark,spotify:track:61KJrjXrNooCvc65CkSuTk,The Knew
Once Upon A Time,Simple Minds,Don't You (Forget About Me),spotify:track:3fH4KjXFYMmljxrcGrbPj9,I Will Survive
One By One (Expanded Edition),Foo Fighters,All My Life,spotify:track:6tsojOQ5wHaIjKqIryLZK6,Rock Paper Scissors
One By One (Expanded Edition),Foo Fighters,Times Like These,spotify:track:67vYdAAM3oGsEImCRfbtsF,Rock Paper Scissors
Only Revolutions,Biffy Clyro,Many of Horror,spotify:track:0Au4QRVX0hwIRVv1svcqhD,The Knew
Origin of Symmetry,Muse,Feeling Good,spotify:track:5Yj4AP0JGQWierBFKdKVyS,"1 or 11? Its Aces, Charles!"
Origin of Symmetry,Muse,Feeling Good,spotify:track:5Yj4AP0JGQWierBFKdKVyS,Missing Her
Origins,Imagine Dragons,Natural,spotify:track:2FY7b99s15jUprqC0M5NCT,The Knew
Out For Blood,Valley Of Wolves,Born Bold,spotify:track:7wCJEajRZOrCdQQz2OS73D,The Knew
Out For Blood,Valley Of Wolves,Lions Inside,spotify:track:5e7z058X5qWaR1z7ieqKZ5,The Knew
Out Of Our Heads,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,spotify:track:7fSGbZLhWlAiCC3HDPAULu,Rock Paper Scissors
Out of the Blue,Electric Light Orchestra,Mr. Blue Sky,spotify:track:2RlgNHKcydI9sayD2Df2xp,"1 or 11? Its Aces, Charles!"
Out Of The Dark,RBYN,Out Of The Dark,spotify:track:2qyYTowbZTEmn6Z9HpSZY9,Missing Her
Out of Tune,The Backseat Lovers,Out of Tune,spotify:track:4r3Er3AOnUXFZY34F7tet8,Missing Her
Outrage! Is Now,Death From Above 1979,Freeze Me,spotify:track:50jXnyrzW4mcBBqFTMEoAC,The Knew
Overdose on We,Jono Smithers,Overdose on We,spotify:track:2d8IQlluUIWJ69Nc7IGMsS,Missing Her
OXYGEN: INHALE,Thousand Foot Krutch,Untraveled Road,spotify:track:3WG3wFBe9NgkWB1mNGE6fJ,Perfect Playlist Pt 2
OXYGEN: INHALE,Thousand Foot Krutch,Untraveled Road,spotify:track:3WG3wFBe9NgkWB1mNGE6fJ,The Knew
Pacific Daydream,Weezer,Feels Like Summer,spotify:track:2jz1bw1p0WQj0PDnVDP0uY,The Knew
Palm Trees and Power Lines,Sugarcult,Memory,spotify:track:0ChpoNjXfJPjMvCIN6so6J,Missing Her
Paramore,Paramore,Ain't It Fun,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,The Knew
Paramore,Paramore,Still into You,spotify:track:1yjY7rpaAQvKwpdUliHx0d,Missing Her
Paramore,Paramore,Still into You,spotify:track:1yjY7rpaAQvKwpdUliHx0d,The Knew
Paranoid,Black Sabbath,Paranoid - 2012 - Remaster,spotify:track:1Y373MqadDRtclJNdnUXVc,Rock Paper Scissors
Physical Graffiti,Led Zeppelin,Kashmir - 1990 Remaster,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,Rock Paper Scissors
Pick a Universe,Tryhardninja,Find the Pieces,spotify:track:4CzJNaGhWWpbv36kpTIzhv,HOmeWorK BANgers
Pieces Of Eight,Styx,Renegade,spotify:track:1CQqupcyMg7176PPmIVmSj,I Will Survive
Pieces Of Eight,Styx,Renegade,spotify:track:1CQqupcyMg7176PPmIVmSj,Rock Paper Scissors
Pieces Of Eight,Styx,Renegade,spotify:track:1CQqupcyMg7176PPmIVmSj,The Knew
Point Of Know Return,Kansas,Dust in the Wind,spotify:track:6zeE5tKyr8Nu882DQhhSQI,I Will Survive
Point Of Know Return,Kansas,Dust in the Wind,spotify:track:6zeE5tKyr8Nu882DQhhSQI,Missing Her
Poison,Bell Biv DeVoe,Poison,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,"1 or 11? Its Aces, Charles!"
Poison,Bell Biv DeVoe,Poison,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,Missing Her
Port Of Morrow,The Shins,Simple Song,spotify:track:48bo7uexDvAThcRDvEB2W7,I Will Survive
Port Of Morrow,The Shins,Simple Song,spotify:track:48bo7uexDvAThcRDvEB2W7,Rock Paper Scissors
Post-War,M. Ward,Chinese Translation,spotify:track:66bI8teVSntNwjQGv3pRtF,Missing Her
Post-War,M. Ward,Chinese Translation,spotify:track:66bI8teVSntNwjQGv3pRtF,Rock Paper Scissors
Pressure,The Score,Born For This,spotify:track:5Sco7mbJy7p7vdDtJW10fZ,The Knew
Pressure,The Score,Stronger,spotify:track:0VeoSHlgashtg5JYPJjl15,The Knew
Pressure,The Score,The Fear,spotify:track:2cppGOIz0cuDnKoGzrDsJQ,The Knew
Psycho Jukebox,Jon Fratelli,Rhythm Doesn’t Make You A Dancer,spotify:track:23NTlcMUsISTRxeWfgTeLd,"1 or 11? Its Aces, Charles!"
Pure Fiction,Eric Hutchinson,Tell The World,spotify:track:0ifc4mq2mVNefgQFmtXQpt,Missing Her
Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,Killing In The Name,spotify:track:59WN2psjkt1tyaxjspN8fp,Rock Paper Scissors
Ramones,Ramones,Blitzkrieg Bop - 2016 Remaster,spotify:track:4KcH1ZRV2W1q7Flq0QqC76,I Will Survive
Ramones,Ramones,Blitzkrieg Bop - 2016 Remaster,spotify:track:4KcH1ZRV2W1q7Flq0QqC76,Rock Paper Scissors
Random Access Memories,Daft Punk,Instant Crush (feat. Julian Casablancas),spotify:track:2cGxRwrMyEAp8dEbuZaVv6,Missing Her
Rare Breed,Zayde Wølf,Heroes,spotify:track:5UYYQuk6SjY3S892UuLXE3,The Knew
