playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
American Pie,Don McLean,American Pie,spotify:track:1fDsrQ23eTAVFElUMaf38X,I Will Survive
Americana,The Offspring,The Kids Aren't Alright,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,I Will Survive
An Innocent Man,Billy Joel,The Longest Time,spotify:track:5DH7nDryMhpixm4G4B7RP9,Missing Her
An Innocent Man,Billy Joel,The Longest Time,spotify:track:5DH7nDryMhpixm4G4B7RP9,The Knew
Angles,The Strokes,Under Cover of Darkness,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,The Knew
Anthology,Alien Ant Farm,Smooth Criminal,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,I Will Survive
Anthology,Alien Ant Farm,Smooth Criminal,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,Rock Paper Scissors
Appetite For Destruction,Guns N' Roses,Sweet Child O' Mine,spotify:track:7o2CTH4ctstm8TNelqjb51,Rock Paper Scissors
Appetite For Destruction,Guns N' Roses,Sweet Child O' Mine,spotify:track:7snQQk1zcKl8gZ92AnueZW,I Will Survive
Appetite For Destruction,Guns N' Roses,Welcome To The Jungle,spotify:track:0G21yYKMZoHa30cYVi1iA8,I Will Survive
Are We Not Men? We Are Diva!,Me First and the Gimme Gimmes,I Will Survive,spotify:track:5hpyKjTtr5HsvdgLatWzJt,I Will Survive
As You Were,Liam Gallagher,Wall of Glass,spotify:track:5qlSYa5PePLAuAsAFgqVxW,The Knew
ATLAS,The Score,Legend,spotify:track:3SWqGa1J0M7hSBUDM0KePD,The Knew
ATLAS,The Score,Miracle,spotify:track:6A6PDawvZIfnJHW40sBHzz,The Knew
ATLAS,The Score,Never Going Back,spotify:track:5k02Wjsu2MdpF3c9VFQD0k,The Knew
ATLAS,The Score,Oh My Love,spotify:track:4Q99wmrzQFtK3oweyLkWij,Missing Her
ATLAS,The Score,Only One,spotify:track:7La6wwwBcYGqml4BOoZlta,The Knew
ATLAS,The Score,Revolution,spotify:track:7Fv8Qp3tTSbSS2VjryUF7L,The Knew
ATLAS,The Score,Unstoppable,spotify:track:6rrKbzJGGDlSZgLphopS49,The Knew
ATLAS,The Score,Who I Am,spotify:track:4zIJHigfguvdm3O8c9KPeo,The Knew
Audioslave,Audioslave,Show Me How to Live,spotify:track:1Qdnvn4XlmZANCVy3XjrQo,Rock Paper Scissors
B L A C K S T O N E,Semi-Attractive Boy,B L A C K S T O N E,spotify:track:6o3wz9TWDe6dXCGyoKL7W2,Perfect Playlist Pt 2
Babel,Mumford & Sons,Hopeless Wanderer,spotify:track:1FNGW0JOSp7Rbomh80XVYm,Missing Her
Babel,Mumford & Sons,Hopeless Wanderer,spotify:track:1FNGW0JOSp7Rbomh80XVYm,The Knew
Babel,Mumford & Sons,I Will Wait,spotify:track:1fXiYSWmkKJfRKMegCkI11,Missing Her
Babel,Mumford & Sons,I Will Wait,spotify:track:1fXiYSWmkKJfRKMegCkI11,The Knew
Back from the Edge,James Arthur,Say You Won't Let Go,spotify:track:5uCax9HTNlzGybIStD3vDh,Missing Her
Back In Black,AC/DC,Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,Rock Paper Scissors
Back In Black,AC/DC,Shoot to Thrill,spotify:track:0C80GCp0mMuBzLf3EAXqxv,Rock Paper Scissors
Back In Black,AC/DC,You Shook Me All Night Long,spotify:track:2SiXAy7TuUkycRVbbWDEpo,Rock Paper Scissors
Bad Blood,Bastille,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,"1 or 11? Its Aces, Charles!"
Bad Blood,Bastille,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,I Will Survive
Bad Blood,Bastille,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,Missing Her
Bad Hair Day,"""Weird Al"" Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",spotify:track:5r96TaQquRrlo3Ym3ZlSL2,HOmeWorK BANgers
Bank On The Funeral,Matt Maeson,Hallucinogenics,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,Missing Her
Bank On The Funeral,Matt Maeson,Hallucinogenics,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,Perfect Playlist Pt 2
Bank On The Funeral,Matt Maeson,Hallucinogenics,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,The Knew
Battle Born,The Killers,Runaways,spotify:track:62BxlOvQCjLNQA5ARA4Dug,The Knew
Be OK,Ingrid Michaelson,Keep Breathing,spotify:track:3wpZTp7HM8Dv25oExNgCC6,I Will Survive
Bed of Liars,The Unlikely Candidates,Your Love Could Start a War,spotify:track:45vNhbjlX9ouXuKZAis59H,The Knew
Beggars Banquet,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,spotify:track:1Ud6moTC0KyXMq1Oxfien0,Missing Her
Beggars Banquet,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,spotify:track:1Ud6moTC0KyXMq1Oxfien0,Rock Paper Scissors
Bells,The Unlikely Candidates,Bells,spotify:track:12VzUUrRwSGJmpAaFkjDcm,The Knew
Blacklisted,Neko Case,Deep Red Bells,spotify:track:4jUBzVmMj8FRUjTKcOqgTn,Rock Paper Scissors
Blacklisted,Neko Case,Tightly,spotify:track:0pnGyhiRtSoJ5ARIwJxhU6,Rock Paper Scissors
Bleed American,Jimmy Eat World,The Middle,spotify:track:6GG73Jik4jUlQCkKg9JuGO,Missing Her
Blessings - EP,Tom Walker,Rapture,spotify:track:0fLPwaOezajmU3endfmBfH,Missing Her
Blessings - EP,Tom Walker,Rapture,spotify:track:0fLPwaOezajmU3endfmBfH,The Knew
Blood Sugar Sex Magik,Red Hot Chili Peppers,Give It Away,spotify:track:0uppYCG86ajpV2hSR3dJJ0,Rock Paper Scissors
Blue Shades,Jono Smithers,Blue Shades,spotify:track:5OxUavsItZns4C3kuJzhiP,HOmeWorK BANgers
Blur,Blur,Song 2 - 2012 Remaster,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,Rock Paper Scissors
Blurryface,Twenty One Pilots,Stressed Out,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,I Will Survive
Blurryface,Twenty One Pilots,Stressed Out,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,The Knew
Blurryface,Twenty One Pilots,The Judge,spotify:track:1lguQJjlNrIOoOylYVZN3M,Missing Her
Bombs Away,Sheppard,Geronimo,spotify:track:19cL3SOKpwnwoKkII7U3Wh,Missing Her
Boom Boom Room,Palaye Royale,Mr. Doctor Man,spotify:track:0vI2m662QiemSccfCoN9gR,The Knew
Born for This,Royal Deluxe,I'm A Wanted Man,spotify:track:37401pYbpD1TKkFyP4hYPB,Missing Her
Born for This,Royal Deluxe,I'm A Wanted Man,spotify:track:37401pYbpD1TKkFyP4hYPB,The Knew
Born To Rock,Elbow,Grounds for Divorce,spotify:track:1h34M3TNYaVcc91rH9qjrk,Rock Paper Scissors
Born To Rock,The Fratellis,Chelsea Dagger,spotify:track:63J9jk09HxKCqOFkcnbXri,I Will Survive
Born To Rock,The Fratellis,Chelsea Dagger,spotify:track:63J9jk09HxKCqOFkcnbXri,Rock Paper Scissors
Broken Boy Soldiers,The Raconteurs,"Steady, As She Goes",spotify:track:4xlEKYv7HmC8zXoJIbpZKM,Rock Paper Scissors
Broken Machine (Deluxe),Nothing But Thieves,Amsterdam,spotify:track:454I78HEySdcHE8fcVabTb,The Knew
Broken Machine (Deluxe),Nothing But Thieves,Sorry,spotify:track:6rAXHPd18PZ6W8m9EectzH,The Knew
Brothers,The Black Keys,Howlin' for You,spotify:track:0grFc6klR3hxoHLcgCYsF4,The Knew
Bust Free 17,Av.i,L'esbroufe,spotify:track:6OIZQfzKjtYr0j2KZmt0va,Missing Her
"By The Way, I Forgive You",Brandi Carlile,The Joke,spotify:track:18k8IlS52uxRWObykDUZFG,I Will Survive
Cage The Elephant (Expanded Edition),Cage The Elephant,Ain't No Rest for the Wicked,spotify:track:3Pzh926pXggbMe2ZpXyMV7,I Will Survive
Cage The Elephant (Expanded Edition),Cage The Elephant,Ain't No Rest for the Wicked,spotify:track:3Pzh926pXggbMe2ZpXyMV7,Me and michael
Cage The Elephant (Expanded Edition),Cage The Elephant,Ain't No Rest for the Wicked,spotify:track:3Pzh926pXggbMe2ZpXyMV7,Rock Paper Scissors
Cage The Elephant (Expanded Edition),Cage The Elephant,Ain't No Rest for the Wicked,spotify:track:3Pzh926pXggbMe2ZpXyMV7,The Knew
California,blink-182,Bored To Death,spotify:track:44TuSOP6xIAEeJmZsN3nXO,The Knew
Californication,Red Hot Chili Peppers,Californication,spotify:track:48UPSzbZjgc449aqz8bxox,"1 or 11? Its Aces, Charles!"
Californication,Red Hot Chili Peppers,Californication,spotify:track:48UPSzbZjgc449aqz8bxox,Missing Her
