danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,neg,neu,pos
0.431,0.773,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,270927,4,,,
0.431,0.773,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,270927,4,,,
0.411,0.618,4,-4.964,0,0.0469,0.109,0.0,0.279,0.211,120.734,289309,4,,,
0.411,0.618,4,-4.964,0,0.0469,0.109,0.0,0.279,0.211,120.734,289309,4,,,
0.745,0.457,1,-9.619,1,0.0424,0.541,0.00856,0.106,0.382,124.021,319622,4,,,
0.745,0.457,1,-9.619,1,0.0424,0.541,0.00856,0.106,0.382,124.021,319622,4,,,
0.441,0.698,5,-4.298,1,0.0393,0.0209,0.0,0.109,0.49,136.105,235366,4,,,
0.441,0.698,5,-4.298,1,0.0393,0.0209,0.0,0.109,0.49,136.105,235366,4,,,
0.74,0.63,7,-7.955,0,0.175,0.162,4.3e-06,0.205,0.517,130.041,213603,4,,,
0.74,0.63,7,-7.955,0,0.175,0.162,4.3e-06,0.205,0.517,130.041,213603,4,,,
0.704,0.644,0,-5.543,1,0.102,0.0226,1.04e-06,0.122,0.273,160.058,216959,3,,,
0.704,0.644,0,-5.543,1,0.102,0.0226,1.04e-06,0.122,0.273,160.058,216959,3,,,
0.639,0.493,6,-9.363,1,0.0668,0.0187,5.38e-05,0.522,0.262,134.976,196000,4,,,
0.639,0.493,6,-9.363,1,0.0668,0.0187,5.38e-05,0.522,0.262,134.976,196000,4,,,
0.568,0.569,0,-10.054,1,0.0665,0.0227,2.51e-05,0.285,0.397,139.545,180925,4,,,
0.568,0.569,0,-10.054,1,0.0665,0.0227,2.51e-05,0.285,0.397,139.545,180925,4,,,
0.667,0.693,2,-7.526,1,0.335,0.714,0.0,0.107,0.938,84.667,81241,4,,,
0.667,0.693,2,-7.526,1,0.335,0.714,0.0,0.107,0.938,84.667,81241,4,,,
0.683,0.643,11,-8.837,0,0.155,0.0353,0.000206,0.159,0.338,163.941,196572,4,,,
0.683,0.643,11,-8.837,0,0.155,0.0353,0.000206,0.159,0.338,163.941,196572,4,,,
0.609,0.668,0,-6.352,1,0.0352,0.0432,6.68e-05,0.241,0.503,74.059,173514,4,,,
0.609,0.668,0,-6.352,1,0.0352,0.0432,6.68e-05,0.241,0.503,74.059,173514,4,,,
0.765,0.58,1,-7.582,1,0.471,0.177,0.0,0.162,0.785,63.576,220157,4,,,
0.765,0.58,1,-7.582,1,0.471,0.177,0.0,0.162,0.785,63.576,220157,4,,,
0.752,0.437,9,-7.594,1,0.0466,0.0691,0.00213,0.14,0.366,98.541,193914,4,,,
0.752,0.437,9,-7.594,1,0.0466,0.0691,0.00213,0.14,0.366,98.541,193914,4,,,
0.805,0.365,6,-12.469,1,0.407,0.602,0.0,0.714,0.764,94.971,268833,4,,,
0.805,0.365,6,-12.469,1,0.407,0.602,0.0,0.714,0.764,94.971,268833,4,,,
0.442,0.741,9,-5.338,0,0.182,0.156,0.0,0.411,0.342,103.425,261453,4,,,
0.442,0.741,9,-5.338,0,0.182,0.156,0.0,0.411,0.342,103.425,261453,4,,,
0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,212992,3,,,
0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,212992,3,,,
0.771,0.88,1,-7.022,1,0.0418,0.000148,1.46e-06,0.0968,0.545,120.0,348693,4,,,
0.771,0.88,1,-7.022,1,0.0418,0.000148,1.46e-06,0.0968,0.545,120.0,348693,4,,,
0.596,0.491,1,-9.554,0,0.16,0.396,9.07e-06,0.152,0.187,165.846,147360,4,0.0,0.744,0.256
0.596,0.491,1,-9.554,0,0.16,0.396,9.07e-06,0.152,0.187,165.846,147360,4,0.0,0.744,0.256
0.832,0.41,2,-11.449,1,0.4,0.22,0.0,0.0905,0.663,140.172,250098,4,,,
0.832,0.41,2,-11.449,1,0.4,0.22,0.0,0.0905,0.663,140.172,250098,4,,,
0.503,0.459,1,-10.401,0,0.285,0.568,0.0,0.0849,0.784,79.731,244770,4,,,
0.503,0.459,1,-10.401,0,0.285,0.568,0.0,0.0849,0.784,79.731,244770,4,,,
0.704,0.644,0,-5.543,1,0.102,0.0226,1.04e-06,0.122,0.273,160.058,216959,3,,,
0.704,0.644,0,-5.543,1,0.102,0.0226,1.04e-06,0.122,0.273,160.058,216959,3,,,
0.438,0.325,0,-9.206,1,0.0432,0.241,1.11e-06,0.0648,0.142,141.504,339190,4,0.13,0.745,0.125
0.438,0.325,0,-9.206,1,0.0432,0.241,1.11e-06,0.0648,0.142,141.504,339190,4,0.13,0.745,0.125
0.832,0.41,2,-11.449,1,0.4,0.22,0.0,0.0905,0.663,140.172,250098,4,,,
0.832,0.41,2,-11.449,1,0.4,0.22,0.0,0.0905,0.663,140.172,250098,4,,,
0.639,0.493,6,-9.363,1,0.0668,0.0187,5.38e-05,0.522,0.262,134.976,196000,4,,,
